event_time,user_id,session_id,event_type,sku,category,price,qty,revenue,device_os,device_model,country,city,traffic_source
2024-01-01 00:04:05,u2315,s14981,add_to_cart,SKU1292,Bra,1928.45,0,0.0,iOS,iPhone 14,IN,Pune,Organic
2024-01-01 00:09:40,u7176,s3495,view,SKU0848,Accessories,724.01,0,0.0,iOS,iPhone 14,SG,Singapore,Organic
2024-01-01 00:10:17,u3792,s21306,click,SKU0306,Bra,205.82,0,0.0,Android,Galaxy S22,US,Seattle,Email
2024-01-01 00:13:34,u5870,s42712,view,SKU0128,Bra,1460.94,0,0.0,iOS,iPhone 12,IN,Hyderabad,Organic
2024-01-01 00:29:15,u3070,s41858,view,SKU0749,Activewear,1211.83,0,0.0,iOS,iPhone 13,IN,Delhi,Social
2024-01-01 00:29:33,u17456,s18964,view,SKU1240,Sleepwear,784.47,0,0.0,Android,OnePlus 11,IN,Mumbai,Direct
2024-01-01 00:34:27,u19906,s12961,view,SKU0587,Panty,1335.64,0,0.0,Android,Galaxy S22,US,Seattle,Organic
2024-01-01 00:53:32,u10989,s24930,add_to_cart,SKU0523,Panty,1018.86,0,0.0,Android,Pixel 6,IN,Delhi,Organic
2024-01-01 00:54:12,u16191,s36439,view,SKU0707,Panty,1768.72,0,0.0,iOS,iPhone 14,IN,Delhi,Email
2024-01-01 01:06:01,u6603,s55236,view,SKU0215,Panty,220.75,0,0.0,Android,Pixel 6,IN,Delhi,Organic
2024-01-01 01:08:58,u7212,s15269,click,SKU1423,Maternity,1225.95,0,0.0,iOS,iPhone 13,US,LA,Social
2024-01-01 01:15:54,u18546,s25624,view,SKU0598,Panty,1210.92,0,0.0,Android,Moto G,GB,Birmingham,Social
2024-01-01 01:26:34,u15839,s52603,click,SKU0957,Bra,1102.11,0,0.0,Android,Pixel 6,US,Seattle,Organic
2024-01-01 01:33:54,u16463,s8326,view,SKU1062,Bra,1027.2,0,0.0,Android,Pixel 6,IN,Delhi,Paid
2024-01-01 01:47:44,u4596,s55850,view,SKU1312,Bra,1823.61,0,0.0,iOS,iPhone 12,IN,Chennai,Direct
2024-01-01 01:48:15,u16752,s8692,view,SKU1332,Activewear,1471.84,0,0.0,Android,Pixel 6,IN,Hyderabad,Paid
2024-01-01 01:50:30,u2309,s23284,view,SKU0532,Bra,690.72,0,0.0,iOS,iPhone 14,US,LA,Organic
2024-01-01 01:58:40,u6758,s36675,add_to_cart,SKU1079,Bra,1358.44,0,0.0,Web,Safari,IN,Mumbai,Direct
2024-01-01 02:01:10,u5057,s54104,click,SKU1158,Panty,671.71,0,0.0,iOS,iPhone 13,IN,Bengaluru,Direct
2024-01-01 02:09:52,u2361,s7033,view,SKU1368,Bra,504.18,0,0.0,Web,Firefox,AE,Dubai,Social
2024-01-01 02:29:41,u18371,s12698,add_to_cart,SKU1484,Activewear,244.9,0,0.0,iOS,iPhone 12,IN,Bengaluru,Direct
2024-01-01 02:36:41,u17749,s21803,view,SKU1200,Panty,808.28,0,0.0,iOS,iPhone 14,IN,Hyderabad,Email
2024-01-01 03:08:49,u615,s15509,view,SKU0206,Bra,1317.21,0,0.0,iOS,iPhone 14,IN,Bengaluru,Social
2024-01-01 03:59:49,u2166,s8152,view,SKU1488,Bra,1493.41,0,0.0,iOS,iPhone 13,IN,Hyderabad,Organic
2024-01-01 04:06:27,u17074,s21309,click,SKU0709,Activewear,1772.82,0,0.0,iOS,iPhone 13,AE,Dubai,Direct
2024-01-01 04:31:31,u3084,s46676,click,SKU0101,Bra,444.17,0,0.0,Android,Pixel 6,IN,Hyderabad,Organic
2024-01-01 05:02:59,u16572,s8062,view,SKU1186,Sleepwear,954.5,0,0.0,Android,Pixel 6,IN,Chennai,Social
2024-01-01 05:05:28,u16830,s52029,click,SKU0294,Bra,520.65,0,0.0,iOS,iPhone 12,AE,Abu Dhabi,Direct
2024-01-01 05:09:21,u13114,s16461,view,SKU0181,Bra,660.82,0,0.0,Android,Moto G,SG,Singapore,Direct
2024-01-01 05:15:21,u18970,s20022,purchase,SKU1329,Bra,1920.66,3,5761.98,Android,Galaxy S22,US,Austin,Email
2024-01-01 05:18:46,u19186,s3376,view,SKU1186,Panty,1916.41,0,0.0,iOS,iPhone 14,AE,Abu Dhabi,Organic
2024-01-01 05:19:16,u6075,s27728,view,SKU0631,Bra,1458.79,0,0.0,Web,Chrome,IN,Bengaluru,Paid
